model,split,accuracy_at_median_cutoff,average_precision,roc_auc
logistic_regression,validation,0.5640009773806199,0.29341285833562847,0.6404385884977198
logistic_regression,test,0.5589358915273971,0.28622106221988675,0.6281137463207788
hist_gradient_boosting,validation,0.5676137950293214,0.2987109369721432,0.6447216905754392
hist_gradient_boosting,test,0.5628653552283698,0.2939356156102234,0.6346071437010626
