model,mean_5d_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
market_benchmark,0.002209185154505931,0.11764089941787903,0.11447936829967535,1.0276166017087696,-0.4645237747022186,0.6122733612273361
hist_gradient_boosting,0.002715563812485921,0.14645998389031956,0.17865360285376675,0.8197986581339833,-0.8066806815171721,0.5495118549511855
logistic_regression,0.0017952666283841715,0.09461238685457762,0.16507348438745723,0.5731531457378418,-0.7867057523216372,0.5439330543933054
short_term_reversal,0.0013960123736207056,0.07284066554433544,0.16285502769612575,0.44727305367722636,-0.7625484748611547,0.5174337517433751
momentum_top_21d,0.00012814237924974118,0.00647885975238105,0.12449921358553025,0.05203936286657835,-0.6521808283801556,0.5271966527196653
