Date,strategy_ret_5d,strategy_ret_5d_after_cost,model,cumulative_return
2015-01-02,0.010047471449882201,0.009047471449882202,hist_gradient_boosting,0.009047471449882272
2015-01-05,0.0048862997699455814,0.0038862997699455814,hist_gradient_boosting,0.012968932406042022
2015-01-06,-0.0023420840103258998,-0.0033420840103259,hist_gradient_boosting,0.009583505134090897
2015-01-07,-0.0036249308086506106,-0.004624930808650611,hist_gradient_boosting,0.0049142512772908375
2015-01-08,-0.009209401012587324,-0.010209401012587323,hist_gradient_boosting,-0.0053453212972629505
2015-01-09,-0.0031113528640369114,-0.004111352864036912,hist_gradient_boosting,-0.009434697659275182
2015-01-12,0.01649294840968698,0.015492948409686978,hist_gradient_boosting,0.005912079466315667
2015-01-13,0.03537158559020539,0.03437158559020539,hist_gradient_boosting,0.04048687260191364
2015-01-14,0.06019199798625039,0.05919199798625039,hist_gradient_boosting,0.10207536946968587
2015-01-15,0.08562260726164808,0.08462260726164808,hist_gradient_boosting,0.19533586063305486
2015-01-16,0.037973799015639444,0.03697379901563944,hist_gradient_boosting,0.23953196850028768
2015-01-20,0.023232405415028235,0.022232405415028234,hist_gradient_boosting,0.2670897457488741
2015-01-21,-0.001475572590118599,-0.002475572590118599,hist_gradient_boosting,0.26395297310507804
2015-01-22,0.01290161930413256,0.011901619304132562,hist_gradient_boosting,0.2789960602093011
2015-01-23,0.013935880001185343,0.012935880001185344,hist_gradient_boosting,0.29554099976615755
2015-01-26,0.012011525531112555,0.011011525531112554,hist_gradient_boosting,0.30980688256168554
2015-01-27,0.02823903795100662,0.027239037951006618,hist_gradient_boosting,0.3454847619442729
2015-01-28,0.024469959719279216,0.023469959719279215,hist_gradient_boosting,0.37706323511000894
2015-01-29,0.04142027809523984,0.04042027809523984,hist_gradient_boosting,0.43272451402788614
2015-01-30,0.022732517058998723,0.021732517058998722,hist_gradient_boosting,0.463861223969843
2015-02-02,0.016291576136825647,0.015291576136825646,hist_gradient_boosting,0.4862459693299248
2015-02-03,0.011675567264445786,0.010675567264445785,hist_gradient_boosting,0.502112488147018
2015-02-04,-0.00458427455212429,-0.00558427455212429,hist_gradient_boosting,0.4937242796050305
2015-02-05,-0.010024756201502267,-0.011024756201502266,hist_gradient_boosting,0.47725633359012054
2015-02-06,0.015817335069682283,0.014817335069682282,hist_gradient_boosting,0.49914533566873565
2015-02-09,0.0258379675734007,0.024837967573400697,hist_gradient_boosting,0.5363810589038907
2015-02-10,0.015874329509440028,0.014874329509440027,hist_gradient_boosting,0.5592336970260894
2015-02-11,0.017675523598919586,0.016675523598919585,hist_gradient_boosting,0.5852347353370786
2015-02-12,0.013377000073260228,0.012377000073260227,hist_gradient_boosting,0.6048551857724802
2015-02-13,-0.00016342846537288126,-0.0011634284653728813,hist_gradient_boosting,0.6029880515665513
2015-02-17,-0.007537283116539375,-0.008537283116539375,hist_gradient_boosting,0.5893028887378979
2015-02-18,-0.013319923753765237,-0.014319923753765236,hist_gradient_boosting,0.5665441925495325
2015-02-19,-0.013871576569760563,-0.014871576569760563,hist_gradient_boosting,0.5432472106401183
2015-02-20,-0.022426485831567988,-0.02342648583156799,hist_gradient_boosting,0.5070943517254507
2015-02-23,-0.02161428328562858,-0.022614283285628582,hist_gradient_boosting,0.4730124931173607
2015-02-24,-0.015373444350054073,-0.016373444350054073,hist_gradient_boosting,0.44889420503436916
2015-02-25,-0.018003824204246222,-0.019003824204246223,hist_gradient_boosting,0.421359674271345
2015-02-26,-0.019745244836873614,-0.020745244836873615,hist_gradient_boosting,0.39187321982732715
2015-02-27,-0.02442062429443773,-0.02542062429443773,hist_gradient_boosting,0.35649093364060747
2015-03-02,-0.03246164700952613,-0.033461647009526134,hist_gradient_boosting,0.31110051284750284
2015-03-03,-0.04237042108012126,-0.04337042108012126,hist_gradient_boosting,0.25423753152694384
2015-03-04,-0.030671453224009465,-0.031671453224009466,hist_gradient_boosting,0.21451400621539118
2015-03-05,-0.03356384058502748,-0.03456384058502748,hist_gradient_boosting,0.17253573771627928
2015-03-06,-0.028650616054646742,-0.029650616054646743,hist_gradient_boosting,0.1377693307469019
2015-03-09,-0.009206935976222392,-0.010206935976222391,hist_gradient_boosting,0.12615619203225892
2015-03-10,0.008201451072903154,0.007201451072903154,hist_gradient_boosting,0.13426615074962633
2015-03-11,0.01910258579664276,0.01810258579664276,hist_gradient_boosting,0.15479930105979922
2015-03-12,0.015305811861001696,0.014305811861001695,hist_gradient_boosting,0.17131964259797705
2015-03-13,0.024081568157180936,0.023081568157180935,hist_gradient_boosting,0.19835553676244722
2015-03-16,0.022116102920351564,0.021116102920351563,hist_gradient_boosting,0.22366013561189613
2015-03-17,0.013687277181111561,0.01268727718111156,hist_gradient_boosting,0.23918505092788078
2015-03-18,-0.009199819971327345,-0.010199819971327344,hist_gradient_boosting,0.2265455864972563
2015-03-19,-0.010314247387594865,-0.011314247387594865,hist_gradient_boosting,0.21266814629946373
2015-03-20,-0.027730976866092463,-0.028730976866092463,hist_gradient_boosting,0.1778270058418865
2015-03-23,-0.021226992763282285,-0.022226992763282286,hist_gradient_boosting,0.15164745350664033
2015-03-24,-0.027088034728275465,-0.028088034728275466,hist_gradient_boosting,0.11929993983781584
2015-03-25,-0.0048185617954277895,-0.0058185617954277895,hist_gradient_boosting,0.11278722397025076
2015-03-26,-0.010176700805131533,-0.011176700805131532,hist_gradient_boosting,0.1003499341081624
2015-03-27,0.005014823424934232,0.004014823424934232,hist_gradient_boosting,0.10476764479924472
